Codice,Ragione sociale,Partita IVA,Codice Fiscale,Indirizzo,address,buildingNumber,address + buildingNumber,CAP,Città,Prov.,Ragione sociale estesa,Telefono 1,E-mail,Pec,Telefono 2,Fax,Cell.,Alias,Macroarea,Descrizione macroarea,Area,Descrizione area,Zona,Descrizione zona,Macrocategoria,Descrizione macrocategoria,Categoria,Descrizione categoria,Sottocategoria,Descrizione sottocategoria,Raggruppamento 1,Descrizione raggruppamento 1,Raggruppamento 2,Descrizione raggruppamento 2,Raggruppamento 3,Descrizione raggruppamento 3,Stato est.,Descrizione Stato,Agente,Cond. Pagamento,Agente ID,Attivo,Anag. valida,Data validità,Anag. sost.,Ragione sociale sostitutiva,Data dismiss.,Codice AU,Cod. intermedio,Descr. intermedio,Tipo Nazione,Stato
448,ALTO ADIGE BANCA S.P.A.,01697990214,11658880155,"Via Esperanto, 1",Via Esperanto,1,Via Esperanto 1,39100,Bolzano,BZ,,,paolo.cagol@suedtirolbank.eu,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
449,BANCA STABIESE - S.P.A.,01238581217,00275490639,"Via Ettore Tito, 1",Via Ettore Tito,1,Via Ettore Tito 1,80053,Castellammare di Stabia,NA,,,MAURIZIO.SANTORO@BANCASTABIESE.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
450,ILLIMITY BANK S.P.A.,12020720962,03192350365,"Via Soperga, 9",Via Soperga,9,Via Soperga 9,20124,Milano,MI,,,marco.montagnani@illimity.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
451,IMPREBANCA S.P.A.,09994611003,09994611003,"Via Cola di Rienzo, 240",Via Cola di Rienzo,240,Via Cola di Rienzo 240,00192,Roma,RM,,,si.org@imprebanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
452,BANCO DI CREDITO P.AZZOAGLIO - S.P.A.,00166050047,00166050047,"Via Andrea Doria, 17",Via Andrea Doria,17,Via Andrea Doria 17,12073,Ceva,CN,,,backoffice@azzoaglio.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
453,BANCA DI CREDITO PELORITANO S.P.A.,03104290832,03104290832,"Via Oratorio San Francesco, 2",Via Oratorio San Francesco,2,Via Oratorio San Francesco 2,98122,Messina,ME,,,ufficio.organizzazione@bcpme.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
454,CREDITO LOMBARDO VENETO S.P.A.,03515830168,03515830168,"Via Orzinuovi, 75",Via Orzinuovi,75,Via Orzinuovi 75,25125,Brescia,BS,,,incassiepagamenti@crelove.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
455,BANCO DI DESIO E DELLA BRIANZA - SOCIETA' PER AZIONI,10537880964,01181770155,"Via Rovagnati, 1",Via Rovagnati,1,Via Rovagnati 1,20033,Desio,MB,,,P.STRADA@BANCODESIO.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
456,WISE DIALOG BANK S.P.A.,01483500524,08447330963,"Via Messina, 38",Via Messina,38,Via Messina 38,20154,Milano,MI,,,banking@widiba.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
457,ING BANK N.V.,11241140158,,Viale Fulvio Testi 250,Viale Fulvio Testi,250,Viale Fulvio Testi 250,20126,Milano,MI,,,matteo.marconi@ing.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
458,CASSA LOMBARDA - S.P.A.,00714590155,00714590155,"Via Manzoni, 14",Via Manzoni,14,Via Manzoni 14,20121,Milano,MI,,,andrea.rocchi@cassalombarda.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
459,C. CENTR. ALTO ADIGE RAIFFEISEN-LANDESBANK SUEDTIROL A.G.,00194450219,00194450219,"Via Laurin, 1",Via Laurin,1,Via Laurin 1,39100,Bolzano,BZ,,,rlb.invoice@raiffeisen.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
460,ALLIANZ BANK FINANCIAL ADVISORS S.P.A.,01333250320,09733300157,"Piazza Tre Torri, 3",Piazza Tre Torri,3,Piazza Tre Torri 3,20145,Milano,MI,,,marco.bosisio@allianzbank.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
461,CASSA CENTRALE BANCA - CREDITO COOPERATIVO ITALIANOSOCIETA',02529020220,00232480228,"Via Giovanni Segantini, 5",Via Giovanni Segantini,5,Via Giovanni Segantini 5,38122,Trento,TN,,,matteo.franch@cassacentrale.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
462,BFF BANK S.p.A.,07960110158,07960110158,Via Domenichino 5,Via Domenichino,5,Via Domenichino 5,20149,Milano,MI,,,contabilita.fornitori@bff.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
463,BANCA POPOLARE ETICA - SOCIETA' COOPERATIVA PER AZIONI (IN F,02622940233,01029710280,"Via Niccolò Tommaseo, 7",Via Niccolò Tommaseo,7,Via Niccolò Tommaseo 7,35131,Padova,PD,,,pzanet@bancaetica.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
464,BANCA REGIONALE DI SVILUPPO S.P.A. IN FORMA ABBREVIATA 'BRS,07634270636,07634270636,"Piazza Municipio, 84",Piazza Municipio,84,Piazza Municipio 84,80133,Napoli,NA,,,organizzazione@brsspa.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
465,IGEA DIGITAL BANK S.P.A.,00923361000,00694710583,Via Tomacelli 107,Via Tomacelli,107,Via Tomacelli 107,00186,Roma,RM,,,paolo.vianello@igeabanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
466,Vivibanca S.p.A.,04255700652,04255700652,Via Giovanni Giolitti 15,Via Giovanni Giolitti,15,Via Giovanni Giolitti 15,10123,Torino,TO,,,massimo.barrera@vivibanca.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
467,BANCO BPM SOCIETA' PER AZIONI,10537050964,09722490969,Piazza Filippo Meda 4,Piazza Filippo Meda,4,Piazza Filippo Meda 4,20121,Verona,VR,,,andrea.lemmi@bancobpm.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
468,BANCA AGRICOLA POPOLARE DI RAGUSA SOC. COOP. PER AZIONI,00026870881,00026870881,"Viale Europa, 65",Viale Europa,65,Viale Europa 65,97100,Ragusa,RG,,,marco.canzonieri@bapr.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
469,BANCA POPOLARE DEL MEDITERRANEO SOC. COOP. PER AZ.,03547120612,03547120612,"Via A. Depretis, 51",Via A. Depretis,51,Via A. Depretis 51,80133,Napoli,NA,,,marcello.malagesi@bpmed.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
470,BANCA DI IMOLA S.P.A.,02620360392,00293070371,"Via Emilia, 196",Via Emilia,196,Via Emilia 196,40026,Imola,BO,,,averde@lacassa.com,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
471,BANCA POPOLARE DEL LAZIO SOCIETA' COOPERATIVA,04781291002,04781291002,"Via Martiri delle Fosse Ardeatine, 9",Via Martiri delle Fosse Ardeatine,9,Via Martiri delle Fosse Ardeatine 9,00049,Velletri,RM,,,carlo.macini@bplazio.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
472,BANCA VALSABBINA SOCIETA' COOPERATIVA PER AZIONI (IN BREVE L,00549950988,00283510170,"Via Molino, 4",Via Molino,4,Via Molino 4,25121,Brescia,BS,,,ORGANIZZAZIONE@LAVALSABBINA.IT,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
473,"BANCA DI CREDITO POPOLARE', SOCIETA' COOPERATIVA PER AZIONI",01241921210,00423310630,"Corso V. Emanuele, 92/100",Corso V. Emanuele,92/100,Corso V. Emanuele 92/100,80059,Torre del Greco,NA,,,rascione@bcp.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
474,BANCA DI PIACENZA - SOCIETA' COOPERATIVA PER AZIONI,00144060332,00144060332,"Via Mazzini, 20",Via Mazzini,20,Via Mazzini 20,29121,Piacenza,PC,,,s.barbieri@bancadipiacenza.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
475,CREVAL S.P.A.,02886650346,00043260140,"Piazza Quadrivio, 8",Piazza Quadrivio,8,Piazza Quadrivio 8,23100,Sondrio,SO,,,bergomi.sergioguido@creval.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
476,BANCA POPOLARE DI LAJATICO SOCIETA' COOPERATIVA PER AZIONI,00139860506,00139860506,"Via Guelfi, 2",Via Guelfi,2,Via Guelfi 2,56030,Lajatico,PI,,,nicola.borghesi@bplajatico.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
477,BANCA POPOLARE PUGLIESE - SOCIETA' COOPERATIVA PER AZIONI,02848590754,02848590754,"Via Prov.le per Matino, 5",Via Prov.le per Matino,5,Via Prov.le per Matino 5,73046,Matino,LE,,,funzione.organizzazione@bpp.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
478,BANCA POPOLARE DI FONDI - SOCIETA' COOPERATIVA,00076260595,00076260595,"Via Appia Km. 118,600","Via Appia Km. 118,600",,"Via Appia Km. 118,600 ",04022,Fondi,LT,,,GIORGIO.DIFONZO@BPFONDI.IT,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
479,BANCA POPOLARE DEL FRUSINATE SOCIETA' COOPERATIVA PER AZIONI,01781530603,01781530603,"Piazzale De Matthaeis, 55",Piazzale De Matthaeis,55,Piazzale De Matthaeis 55,03100,Frosinone,FR,,,ced@bpf.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
480,CREDIT AGRICOLE FRIULADRIA S.P.A.,02886650346,01369030935,"Piazza XX Settembre, 2",Piazza XX Settembre,2,Piazza XX Settembre 2,33170,Pordenone,PN,,,cr00729fornitori@credit-agricole.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
481,BANCA POPOLARE DEL CASSINATE SOCIETA' COOPERATIVA PER AZIONI,00121930606,00121930606,"Piazza Armando Diaz, 14",Piazza Armando Diaz,14,Piazza Armando Diaz 14,03043,Cassino,FR,,,m.calacci@bancapopolaredelcassinate.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
482,BANCA POPOLARE DI PUGLIA E BASILICATA - SOCIETA' COOPERATIVA,00604840777,00604840777,Via Ottavio Serena 13,Via Ottavio Serena,13,Via Ottavio Serena 13,70022,Altamura,BA,,,a.rubino@bppb.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
483,BPER BANCA S.P.A.,03830780361,01153230360,"Via S. Carlo, 8/20",Via S. Carlo,8/20,Via S. Carlo 8/20,41121,Modena,MO,,, alessandro.biasin@bper.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
484,Banca Popolare di Bari,00254030729,00254030729,"Corso Cavour, 19",Corso Cavour,19,Corso Cavour 19,70121,Bari,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
485,BANCA DI CIVIDALE SOCIETA' COOPERATIVA PER AZIONI O IN FORMA,03179070218,00249360306,"Via Sen. Guglielmo Pelizzo, 8-1",Via Sen. Guglielmo Pelizzo,8-1,Via Sen. Guglielmo Pelizzo 8-1,33043,Cividale del Friuli,UD,,,prodotti.bancari@civibank.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
486,BANCA POPOLARE DI CORTONA - SOCIETA' COOPERATIVA PER AZIONI,00121760516,00121760516,"Via Guelfa, 4",Via Guelfa,4,Via Guelfa 4,52044,Cortona,AR,,,paola.angiolini@popcortona.it,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,301,,Si,Si,,,,,,,,Intracomunitario,
487,Banca Popolare Vesuviana,01536681214,06412660638,"Via Bracco, 31/35",Via Bracco,31/35,Via Bracco 31/35,80047,San Giuseppe Vesuviano,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,86,ITALIA,,409,,Si,Si,,,,,,,,Intracomunitario,
