contract_id,document_name,provider_names,signed_date,contract_type,name,Nome breve,abi,tax_code,vat_code,vat_group,pec_mail,courtesy_mail,referente fattura_mail,sdd,sdi_code,membership_id,recipient_id
pagopa-psp-07,CI006_A_CASSA RAIFFEISEN BASSA ATESINA (IN LINGUA TEDESCA RAIFFEISENKASSE UNTERLAND),"RZSBIT21317,ABI08114",30/01/2020,A,Cassa Raiffeisen Bassa Atesina (Raiffeisenkasse Unterland),Cassa Raiffeisen Bassa Atesina,08114,00143480218,00143480218,TRUE,pec08114@raiffeisen-legalmail.it,rk.unterland@raiffeisen.it,,FALSE,,pagopa-psp-07,pagopa-psp-04
pagopa-psp-08,CI006_A_CASSA RAIFFEISEN BASSA VALL'ISARCO SOCIETA' COOPERATIVA (IN TEDESCO RAIFFEISENKASSE UNTEREISACKTAL GENOSSENSCHAFT),"RZSBIT21013,ABI08307,RZSBIT21007,ABI08113",30/01/2020,A,Cassa Raiffeisen Bassa Vall'Isarco Società Cooperativa (Raiffeisenkasse Untereisacktal Gen.),Cassa Raiffeisen della Valle Isarco,08307,00181170218,00181170218,TRUE,pec08307@raiffeisen-legalmail.it,rk.untereisacktal@raiffeisen.it,,FALSE,,pagopa-psp-08,pagopa-psp-04
pagopa-psp-09,CI006_A_CASSA RAIFFEISEN BASSA VALL'ISARCO SOCIETA' COOPERATIVA (IN TEDESCO RAIFFEISENKASSE UNTEREISACKTAL GENOSSENSCHAFT),,30/01/2020,A,Cassa Raiffeisen Bassa Vall'Isarco Società Cooperativa (Raiffeisenkasse Untereisacktal Gen.),Cassa Raiffeisen Bassa Vall'Isarco,08113,00198330219,00181170219,TRUE,pec08113@raiffeisen-legalmail.it,rk.untereisacktal@raiffeisen.it,,FALSE,,pagopa-psp-09,pagopa-psp-04
pagopa-psp-10,CI006_A_CASSA RAIFFEISEN BASSA VENOSTA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE UNTERVINSCHGAU GENOSSENSCHAFT),"RZSBIT21022,ABI08157",30/01/2020,A,Cassa Raiffeisen Bassa Venosta Società Cooperativa (Raiffeisenkasse Untervinschgau Gen.),Cassa Raiffeisen Bassa Venosta,08157,00159550219,00159550219,FALSE,pec08157@raiffeisen-legalmail.it,rk.untervinschgau@raiffeisen.it,,FALSE,,pagopa-psp-10,pagopa-psp-04
pagopa-psp-11,CI006_A_CASSA RAIFFEISEN CAMPO DI TRENS SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE FREIENFELD GENOSSENSCHAFT),"RZSBIT21036,ABI08249",30/01/2020,A,Cassa Raiffeisen Campo di Trens Società Cooperativa (Raiffeisenkasse Freienfeld Gen.),Cassa Raiffeisen Campo di Trens,08249,00143170215,00143170215,FALSE,PEC08249@raiffeisen-legalmail.it,rk.freienfeld@raiffeisen.it,,FALSE,,pagopa-psp-11,pagopa-psp-04
pagopa-psp-12,CI006_A_CASSA RAIFFEISEN CASTELROTTO - ORTISEI SOC. COOPERATIVA - RAIFFEISENKASSE KASTELRUTH - ST. ULRICH GENOSSENSCHAFT,"RZSBIT21011,ABI08056",30/01/2020,A,Cassa Raiffeisen Castelrotto - Ortisei Soc. Cooperativa - Raiffeisenkasse Kastelruth - St. Ulrich Gen.,Cassa Raiffeisen Castelrotto - Ortisei - Raiffeisenkasse Kastelruth - St. Ulrich Genossenschaft,08056,00170970214,00170970214,FALSE,pec08056@raiffeisen-legalmail.it,kastelruth.stulrich@raiffeisen.it,,FALSE,,pagopa-psp-12,pagopa-psp-04
pagopa-psp-13,CI006_A_CASSA RAIFFEISEN DELLA VAL PASSIRIA SOCIETA' COOPERATIVA ( IN LINGUA TEDESCA RAIFFEISENKASSE PASSEIER GENOSSENSHAFT),"RZSBIT21026,ABI08998",30/01/2020,A,Cassa Raiffeisen della Val Passiria Società Cooperativa (Raiffeisenkasse Passeier Gen.),Cassa Raiffeisen della Val Passiria,08998,00202890216,00202890216,FALSE,pec08998@raiffeisen-legalmail.it,passeier@raiffeisen.it,,FALSE,,pagopa-psp-13,pagopa-psp-04
pagopa-psp-14,CI006_A_CASSA RAIFFEISEN DI BRUNICO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE BRUNECK GENOSSENSCHAFT),"RZSBIT21005,ABI08035",30/01/2020,A,Cassa Raiffeisen di Brunico Società Cooperativa (Raiffeisenkasse Bruneck Gen.),Cassa Raiffeisen di Brunico,08035,00198190217,00198190217,FALSE,pec08035@raiffeisen-legalmail.it,rk.bruneck@raiffeisen.it,,FALSE,,pagopa-psp-14,pagopa-psp-04
pagopa-psp-15,CI006_A_CASSA RAIFFEISEN DI DOBBIACO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE TOBLACH GENOSSENSHAFT),"RZSBIT21138,ABI08080",30/01/2020,A,Cassa Raiffeisen di Dobbiaco Società Cooperativa (Raiffeisenkasse Toblach Gen.),Cassa Raiffeisen di Dobbiaco,08080,00174900217,00174900217,FALSE,pec08080@raiffeisen-legalmail.it,rk.toblach@raiffeisen.it,,FALSE,,pagopa-psp-15,pagopa-psp-04
pagopa-psp-16,CI006_A_CASSA RAIFFEISEN DI FUNES SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE VILLNOESS GENOSSENSCHAFT),"RZSBIT21049,ABI08094",30/01/2020,A,Cassa Raiffeisen di Funes Società Cooperativa (Raiffeisenkasse Villnoess Gen.),Cassa Raiffeisen di Funes,08094,00159510213,00159510213,FALSE,PEC08094@raiffeisen-legalmail.it,rk.villnoess@raiffeisen.it,monika.obexer@raiffeisen.it,FALSE,,pagopa-psp-16,pagopa-psp-04
pagopa-psp-17,CI006_A_CASSA RAIFFEISEN DI LAGUNDO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE ALGUND GENOSSENSCHAFT),"RZSBIT21001,ABI08112",30/01/2020,A,Cassa Raiffeisen di Lagundo Società Cooperativa (Raiffeisenkasse Algund Gen.),Cassa Raiffeisen di Lagundo,08112,00163310212,00163310212,FALSE,pec08112@raiffeisen-legalmail.it,info@raika.it,,FALSE,,pagopa-psp-17,pagopa-psp-04
pagopa-psp-18,CI006_A_CASSA RAIFFEISEN DI LASA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE LAAS GENOSSENSCHAFT),"RZSBIT21012,ABI08117",30/01/2020,A,Cassa Raiffeisen di Lasa Società Cooperativa (Raiffeisenkasse Laas Gen.),Cassa Raiffeisen di Lasa,08117,00163250210,00163250210,FALSE,pec08117@raiffeisen-legalmail.it,rk.laas@raiffeisen.it,,FALSE,,pagopa-psp-18,pagopa-psp-04
pagopa-psp-19,CI006_A_CASSA RAIFFEISEN DI MARLENGO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE MARLING GENOSSENSHAFT),"RZSBIT21018,ABI08134",30/01/2020,A,Cassa Raiffeisen di Marlengo Società Cooperativa (Raiffeisenkasse Marling Gen.),Cassa Raiffeisen di Marlengo,08134,00147690218,00147690218,FALSE,pec08134@raiffeisen-legalmail.it,rk.marling@raiffeisen.it,,FALSE,,pagopa-psp-19,pagopa-psp-04
pagopa-psp-20,CI006_A_CASSA RAIFFEISEN DI MONGUELFO-CASIES-TESIDO SOCIETA' COOPERATIVA (RAIFFEISENKASSE WELSBERG-GSIES-TAISTEN GENOSSENSCHAFT),"RZSBIT21052,ABI08148",30/01/2020,A,Cassa Raiffeisen di Monguelfo-Casies-Tesido Società Cooperativa (Raiffeisenkasse Welsberg-Gsies-Taisten Gen.),Cassa Raiffeisen di Monguelfo-Casies-Tesido,08148,00171380215,00171380215,FALSE,pec08148@raiffeisen-legalmail.it,rk_welsberg-gsies-taisten@raiffeisen.it,,FALSE,,pagopa-psp-20,pagopa-psp-04
pagopa-psp-21,CI006_A_CASSA RAIFFEISEN DI NOVA PONENTE-ALDINO SOCIETA' COOPERATIVA(IN TEDESCO RAIFFEISENKASSE DEUTSCHNOFEN-ALDEIN GEN.),"RTZSBIT21006,ABI08162,RZSBIT21006",30/01/2020,A,Cassa Raiffeisen di Nova Ponente-Aldino Società Cooperativa (Raiffeisenkasse Deutschnofen-Aldein Gen.),Cassa Raiffeisen di Nova Ponente-Aldino,08162,00163220213,00163220213,FALSE,pec08162@raiffeisen-legalmail.it,rk.deutschnofen-aldein@raiffeisen.it,,FALSE,,pagopa-psp-21,pagopa-psp-04
pagopa-psp-22,CI006_A_CASSA RAIFFEISEN DI PARCINES SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE PARTSCHINS GENOSSENSHAFT),"RZSBIT21025,ABI08175",30/01/2020,A,Cassa Raiffeisen di Parcines Società Cooperativa (Raiffeisenkasse Partschins Gen.),Cassa Raiffeisen di Parcines,08175,00169290210,00169290210,FALSE,pec08175@raiffeisen-legalmail.it,rk.partschins@raiffeisen.it,,FALSE,,pagopa-psp-22,pagopa-psp-04
pagopa-psp-23,CI006_A_CASSA RAIFFEISEN DI SCENA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE SCHENNA GENOSSENSCHAFT),"RZSBIT21033,ABI08234",30/01/2020,A,Cassa Raiffeisen di Scena Società Cooperativa (Raiffeisenkasse Schenna Gen.),Cassa Raiffeisen di Scena,08234,00143180214,00143180214,FALSE,pec08234@raiffeisen-legalmail.it,rk.ueberetsch@raiffeisen.it,,FALSE,,pagopa-psp-23,pagopa-psp-04
pagopa-psp-24,CI006_A_CASSA RAIFFEISEN DI TESIMO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE TISENS GENOSSENSCHAFT),"RZSBIT21045,ABI08273",30/01/2020,A,Cassa Raiffeisen di Tesimo Società Cooperativa (Raiffeisenkasse Tisens Gen.),Cassa Raiffeisen di Tesimo,08273,00146490214,00146490214,FALSE,PEC08273@raiffeisen-legalmail.it,rk.tisens@raiffeisen.it,,FALSE,,pagopa-psp-24,pagopa-psp-04
pagopa-psp-25,CI006_A_CASSA RAIFFEISEN DI VANDOIES SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE VINTL GENOSSENSHAFT),"RZSBIT21050,ABI08295",30/01/2020,A,Cassa Raiffeisen di Vandoies Società Cooperativa (Raiffeisenkasse Vintl Gen.),Cassa Raiffeisen di Vandoies,08295,00181320219,00181320219,FALSE,pec08295@raiffeisen-legalmail.it,rk.vintl@raiffeisen.it,,FALSE,,pagopa-psp-25,pagopa-psp-04
pagopa-psp-26,CI006_A_CASSA RAIFFEISEN DI VILLABASSA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE NIEDERDORF GENOSSENSCHAFT),"RZSBIT21023,ABI08302",30/01/2020,A,Cassa Raiffeisen di Villabassa Società Cooperativa (Raiffeisenkasse Niederdorf Gen.),Cassa Raiffeisen di Villabassa,08302,00138880216,00138880216,FALSE,pec08302@raiffeisen-legalmail.it,rk.niederdorf@raiffeisen.it,,FALSE,,pagopa-psp-26,pagopa-psp-04
pagopa-psp-27,CI006_A_CASSA RAIFFEISEN ETSCHTAL SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE ETSCHTAL GENOSSENSCHAFT),"RZSBIT21042,ABI08269",30/01/2020,A,Cassa Raiffeisen Etschtal Società Cooperativa (Raiffeisenkasse Etschtal Gen.),Cassa Raiffeisen Etschtal,08269,00158030213,00158030213,FALSE,PEC08269@raiffeisen-legalmail.it,rk.etschtal@raiffeisen.it,,FALSE,,pagopa-psp-27,pagopa-psp-04
pagopa-psp-28,CI006_A_CASSA RAIFFEISEN LACES SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE LATSCH GENOSSENSCHAFT),"RZSBIT21015,ABI08110",30/01/2020,A,Cassa Raiffeisen Laces Società Cooperativa (Raiffeisenkasse Latsch Gen.),Cassa Raiffeisen Laces,08110,00147150213,00147150213,FALSE,PEC08110@raiffeisen-legalmail.it,rk_latsch@raiffeisen.it,,FALSE,,pagopa-psp-28,pagopa-psp-04
pagopa-psp-29,CI006_A_CASSA RAIFFEISEN LANA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE LANA GENOSSENSCHAFT),"RZSBIT21014,ABI08115",30/01/2020,A,Cassa Raiffeisen Lana Società Cooperativa (Raiffeisenkasse Lana Gen.),Cassa Raiffeisen Lana,08115,00186510210,00186510210,FALSE,rk.lana@pec.rolmail.net,info@raikalana.it,,FALSE,,pagopa-psp-29,pagopa-psp-04
pagopa-psp-30,CI006_A_CASSA RAIFFEISEN MERANO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE MERAN GENOSSENSCHAFT),"ICRAITRR3P0,ABI08133,RZSBIT21019",30/01/2020,A,Cassa Raiffeisen Merano Società Cooperativa (Raiffeisenkasse Meran Gen.),Cassa Raiffeisen Merano,08133,00179580212,00179580212,FALSE,raiffeisenmeran@pec.it,norbert.amhof@meranbank.it,,FALSE,SUBM70N,pagopa-psp-30,pagopa-psp-04
pagopa-psp-31,CI006_A_CASSA RAIFFEISEN OLTRADIGE SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE UBERETSCH GENOSSENSCHAFT),"RZSBIT21048,ABI08255",30/01/2020,A,Cassa Raiffeisen Oltradige Società Cooperativa (Raiffeisenkasse Überetsch Gen.),Cassa Raiffeisen Oltradige,08255,00142030212,00142030212,FALSE,pec08255.customer@raiffeisen-legalmail.it,rk.ueberetsch@raiffeisen.it,,FALSE,,pagopa-psp-31,pagopa-psp-04
pagopa-psp-32,CI006_A_CASSA RAIFFEISEN PRATO-TUBRE SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE PRAD-TAUFERS GENOSSENSHAFT),"RZSBIT21027,ABI08183",30/01/2020,A,Cassa Raiffeisen Prato-Tubre Società Cooperativa (Raiffeisenkasse Prad-Taufers Gen.),Cassa Raiffeisen Prato-Tubre,08183,00161920210,00161920210,FALSE,pec08183@raiffeisen-legalmail.it,rk.prad-taufers@raiffeisen.it,,FALSE,,pagopa-psp-32,pagopa-psp-04
pagopa-psp-33,CI006_A_CASSA RAIFFEISEN SCHLERN - ROSENGARTEN SOCIETA' COOPERATIVA (IN TED. RAIFFEISENKASSE SCHLERN-ROSENGARTEN GENOSSENSCHAFT),"RZSBIT21510,ABI08065",30/01/2020,A,Cassa Raiffeisen Schlern - Rosengarten Società Cooperativa (in ted. Raiffeisenkasse Schlern-Rosengarten Gen.),Cassa Raiffeisen Schlern - Rosengarten,08065,00182930214,00182930214,TRUE,pec08065@raiffeisen-legalmail.it,rk.schlern-rosengarten@raiffeisen.it,,FALSE,,pagopa-psp-33,pagopa-psp-04
pagopa-psp-34,CI006_A_CASSA RAIFFEISEN SILANDRO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE SCHLANDERS GENOSSENSCHAFT),"RZSBIT21034,ABI08244",30/01/2020,A,Cassa Raiffeisen Silandro Società Cooperativa (Raiffeisenkasse Schlanders Gen.),Cassa Raiffeisen Silandro,08244,00171320211,00171320211,FALSE,pec08244@raiffeisen-legalmail.it,rk.schlanders@raiffeisen.it,,FALSE,,pagopa-psp-34,pagopa-psp-04
pagopa-psp-35,CI006_A_CASSA RAIFFEISEN TIROLO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE TIROL GENOSSENSCHAFT),"RZSBIT21044,ABI08278",30/01/2020,A,Cassa Raiffeisen Tirolo Società Cooperativa (Raiffeisenkasse Tirol Gen.),Cassa Raiffeisen Tirolo,08278,00129600219,00129600219,FALSE,pec08278@raiffeisen-legalmail.it,rk.tirol@raiffeisen.it,,FALSE,,pagopa-psp-35,pagopa-psp-04
pagopa-psp-36,CI006_A_CASSA RAIFFEISEN TURES-AURINA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE TAUFERER-AHRNTAL GENOSSENSCHAFT),"RZSBIT21040,ABI08285",30/01/2020,A,Cassa Raiffeisen Tures-Aurina Società Cooperativa (Raiffeisenkasse Taufers-Ahrntal Gen.),Cassa Raiffeisen Tures-Aurina,08285,00193730215,00193730215,FALSE,PEC08285@raiffeisen-legalmail.it,rta@raiffeisen.it,,FALSE,,pagopa-psp-36,pagopa-psp-04
pagopa-psp-37,CI006_A_CASSA RAIFFEISEN ULTIMO - S. PANCRAZIO - LAUREGNO SOCIETA' COOPERATIVA (RAIFFEISENKASSE ULTEN-ST.PANKRAZ-LAUREIN GEN.),"RZSBIT21039,ABI08231",30/01/2020,A,Cassa Raiffeisen Ultimo - S. Pancrazio - Lauregno Società Cooperativa (Raiffeisenkasse Ulten-St.Pankraz-Laurein Gen.),Cassa Raiffeisen Ultimo - S. Pancrazio - Lauregno,08231,00137770210,00137770210,FALSE,pec08231@raiffeisen-legalmail.it,rk_ulten-st.pankraz-laurein@raiffeisen.it,,FALSE,,pagopa-psp-37,pagopa-psp-04
pagopa-psp-38,CI006_A_CASSA RAIFFEISEN VAL BADIA SOCIETA' COOPERATIVA - GENOSSENSCHAFT,"RZSBIT21008,ABI08010",30/01/2020,A,Cassa Raiffeisen Val Badia Società Cooperativa - Gen.,Cassa Raiffeisen Val Badia,08010,00181060211,00181060211,FALSE,pec08010@raiffeisen-legalmail.it,corvara@raiffeisen.it,,FALSE,,pagopa-psp-38,pagopa-psp-04
pagopa-psp-39,CI006_A_CASSA RAIFFEISEN VAL GARDENA SOCIETA' COOPERATIVA (RAIFFEISENKASSE GRODEN GENOSSENSCHAFT - CASSA RAIFFEISEN GHERDEINA),"RZSBIT21055,ABI08238",30/01/2020,A,Cassa Raiffeisen Val Gardena Società Cooperativa (Raiffeisenkasse Groden Gen.),Cassa Raiffeisen Val Gardena,08238,00134590215,00134590215,FALSE,pec08238@raiffeisen-legalmail.it,gherdeina@raiffeisen.it,,FALSE,,pagopa-psp-39,pagopa-psp-04
pagopa-psp-40,CI006_A_CASSA RAIFFEISEN VAL SARENTINO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE SARNTAL GENOSSENSCHAFT),"RZSBIT21032,ABI08233",30/01/2020,A,Cassa Raiffeisen Val Sarentino Società Cooperativa (Raiffeisenkasse Sarntal Gen.),Cassa Raiffeisen Val Sarentino,08233,00181040213,00181040213,FALSE,pec08233@raiffeisen-legalmail.it,rk.sarntal@raiffeisen.it,,FALSE,,pagopa-psp-40,pagopa-psp-04
pagopa-psp-41,CI006_A_CASSA RAIFFEISEN WIPPTAL SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE WIPPTAL GENOSSENSCHAFT),"RZSBIT21054,ABI08182",30/01/2020,A,Cassa Raiffeisen Wipptal Società Cooperativa (Raiffeisenkasse Wipptal Gen.),Cassa Raiffeisen Wipptal,08182,00165630211,00165630211,FALSE,pec08182@raiffeisen-legalmail.it,rkwipptal.servicecenter@raiffeisen.it,,FALSE,,pagopa-psp-41,pagopa-psp-04
pagopa-psp-42,CI006_A_CASSA RURALE DI BOLZANO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE BOZEN GENOSSENSCHAFT),"RZSBIT21003,ABI08081",30/01/2020,A,Cassa Rurale di Bolzano Società Cooperativa (Raiffeisenkasse Bozen Gen.),Cassa Rurale di Bolzano,08081,00180630212,00180630212,FALSE,pec08081@raiffeisen-legalmail.it,rk.bozen@raiffeisen.it,,FALSE,,pagopa-psp-42,pagopa-psp-04
pagopa-psp-43,CI006_A_CASSA RURALE DI SALORNO SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE SALURN GENOSSENSCHAFT),"RZSBIT21031,ABI08220",30/01/2020,A,Cassa Rurale di Salorno Società Cooperativa (Raiffeisenkasse Salurn Gen.),Cassa Rurale di Salorno,08220,00147330211,00147330211,FALSE,pec08220@raiffeisen-legalmail.it,rk.salurn@raiffeisen.it,,FALSE,,pagopa-psp-43,pagopa-psp-04
pagopa-psp-02,CI003_B_Banca Sella SpA,"SELBIT2B,ABI03268",07/02/2020,B,Banca Sella S.p.A.,Banca Sella,03268,02224410023,02675650028,TRUE,bs_segreteria@pec.sella.it,roberta.caveggia@sella.it,,FALSE,,pagopa-psp-02,pagopa-psp-02
pagopa-psp-100,CI065_A_BCC_VADARNO_FIORENTINO,ABI08457,07/02/2020,A,Credito Cooperativo Valdarno Fiorentino Banca di Cascia - Società Cooperativa,Credito Cooperativo Valdarno Fiorentino Banca di Cascia,08457,00645190489,15240741007,TRUE,AMMINISTRAZIONE@PECBCCVALDARNOFIORENTINO.it,amministrazione@bccvaldarnofiorentino.it,,FALSE,9GHPHLV,pagopa-psp-382,pagopa-psp-382
pagopa-psp-101,CI066_A_CASSA_RURALE_ERCHIE,ABI08537,07/02/2020,A,Credito Cooperativo Cassa Rurale ed Artigiana di Erchie - Società Cooperativa,Credito Cooperativo Cassa Rurale ed Artigiana di Erchie,08537,00082900747,15240741007,TRUE,CREDITOCOOPERATIVOERCHIE@LEGALMAIL.it,organizzazione@bccerchie.it,,FALSE,9GHPHLV,pagopa-psp-382,pagopa-psp-382
pagopa-psp-103,CI068_A_BCC_MOZZANICA,ABI08679,07/02/2020,A,Banca di Credito Cooperativo di Mozzanica - Società Cooperativa,BCC di Mozzanica,08679,00264910167,15240741007,TRUE,08679.bcc@actaliscertymail.it,Organizzazione@mozzanica.bcc.it,,FALSE,9GHPHLV,pagopa-psp-382,pagopa-psp-382
pagopa-psp-104,CI069_A_BANCA_DI_IMOLA_S.P.A,"IMCOIT2A,ABI05080",07/02/2020,A,Banca di Imola S.p.A.,Banca di Imola,05080,00293070371,2620360392,TRUE,lacassa@pec.lacassa.com;,averde@lacassa.com,,FALSE,,pagopa-psp-382,pagopa-psp-382
